,_id,banderaDescripcion,banderaId,comercioId,comercioRazonSocial,direccion,id,lat,lng,localidad,provincia,sucursalId,sucursalNombre,sucursalTipo,geometry
0,5cbc698b7af152186c0cd13f,Supermercados DIA,1,15,DIA Argentina S.A,Av Dr. Ricardo Balbin 4881,15-1-480,-34.5521177,-58.4984145,saavedra,AR-C,480,480 - Saavedra,Autoservicio,POINT (-58.4984145 -34.5521177)
1,5cbc698b7af152186c0cd140,DEHEZA S.A.I.C.F. e I.,1,3,Deheza S.A.I.C.F. e I.,San Juan Bautista De La Salle 4356,3-1-1506,-34.559454,-58.505028,saavedra,AR-C,1506,GRAL PAZ - NORTE,Autoservicio,POINT (-58.505028 -34.559454)
2,5cbc698b7af152186c0cd141,Express,3,10,INC S.A.,Av. Cabildo 4861,10-3-675,-34.540038,-58.474738,nuñez,AR-C,675,Cabildo 4861,Autoservicio,POINT (-58.474738 -34.540038)
3,5cbc698b7af152186c0cd142,DEHEZA S.A.I.C.F. e I.,1,3,Deheza S.A.I.C.F. e I.,Av. General Paz 3802,3-1-1507,-34.559976,-58.50454,saavedra,AR-C,1507,GRAL PAZ - SUR,Autoservicio,POINT (-58.50454 -34.559976)
4,5cbc698b7af152186c0cd143,DEHEZA S.A.I.C.F. e I.,1,3,Deheza S.A.I.C.F. e I.,Cabildo 4701,3-1-29,-34.541473,-58.47384,saavedra,AR-C,29,CABILDO,Autoservicio,POINT (-58.47384 -34.541473)
5,5cbc698b7af152186c0cd144,Express,3,10,INC S.A.,Gral. Deheza 2239,10-3-300,-34.540539,-58.472052,nuñez,AR-C,300,Gral Deheza 2239,Autoservicio,POINT (-58.472052 -34.540539)
6,5cbc698b7af152186c0cd145,Supermercados DIA,1,15,DIA Argentina S.A,Av Ruis Huidobro 3942,15-1-498,-34.5512734,-58.4871771,saavedra,AR-C,498,498 - Saavedra,Autoservicio,POINT (-58.4871771 -34.5512734)
7,5cbc698b7af152186c0cd146,Supermercados DIA,1,15,DIA Argentina S.A,Av Cabildo 4625,15-1-111,-34.542076,-58.4733624,nuñez,AR-C,111,111 - NuÃ±ez,Autoservicio,POINT (-58.4733624 -34.542076)
8,5cbc698b7af152186c0cd147,Supermercados DIA,1,15,DIA Argentina S.A,Av Libertador 6144 6144,15-1-430,-34.55308,-58.48897,saavedra,AR-C,430,430 - Belgrano,Autoservicio,POINT (-58.48897 -34.55308)
9,5cbc698b7af152186c0cd148,Express,3,10,INC S.A.,Ricardo Balbín 4189,10-3-536,-34.554987,-58.490865,saavedra,AR-C,536,Ricardo Balbín 4189,Autoservicio,POINT (-58.490865 -34.554987)
10,5cbc698b7af152186c0cd149,Supermercados DIA,1,15,DIA Argentina S.A,Av Cabildo 4316,15-1-542,-34.544364,-58.471821,saavedra,AR-C,542,542 - Saavedra,Autoservicio,POINT (-58.471821 -34.544364)
11,5cbc698b7af152186c0cd14a,COTO CICSA,1,12,Coto Centro Integral de Comercialización S.A.,Av. Ricardo Balbín 4027,12-1-181,-34.5549061,-58.4870293,Saavedra,AR-C,181,SAAVEDRA ,Hipermercado,POINT (-58.4870293 -34.5549061)
12,5cbc698b7af152186c0cd14b,Axion Energy,1,23,Pan American Energy LLC Argentina,Triunvirato 5878,23-1-6223,-34.5638,-58.4986,saavedra,AR-C,6223,Parque Sarmiento,Autoservicio,POINT (-58.4986 -34.5638)
13,5cbc698b7af152186c0cd14c,FULL,1,19,Operadora de Estaciones de Servicios S.A.,Avenida Cabildo 4108 Y Vilela 4108,19-1-00007,-34.54595,-58.47088,saavedra,AR-C,7,CABILDO,Autoservicio,POINT (-58.47088 -34.54595)
14,5cbc698b7af152186c0cd14d,Vea,1,9,Jumbo Retail Argentina S.A.,Manzanares Sold 3953,9-1-665,-34.5545,-58.4835,saavedra,AR-C,665,SM Manzanares.,Supermercado,POINT (-58.4835 -34.5545)
15,5cbc698b7af152186c0cd14e,COTO CICSA,1,12,Coto Centro Integral de Comercialización S.A.,Av. Cabildo 4125,12-1-108,-34.5458941,-58.4705622,saavedra,AR-C,108,CABILDO ,Supermercado,POINT (-58.4705622 -34.5458941)
16,5cbc698b7af152186c0cd14f,Express,3,10,INC S.A.,García Del Río 3166,10-3-574,-34.550187,-58.4766,saavedra,AR-C,574,García del Río 3166,Autoservicio,POINT (-58.4766 -34.550187)
17,5cbc698b7af152186c0cd150,DEHEZA S.A.I.C.F. e I.,1,3,Deheza S.A.I.C.F. e I.,Av. Del Libertador 7920,3-1-1553,-34.54162,-58.46314,nuñez,AR-C,1553,CDRO RIVADAVIA,Autoservicio,POINT (-58.46314 -34.54162)
18,5cbc698b7af152186c0cd151,Market,2,10,INC S.A.,Av. Cabildo 4047,10-2-387,-34.546335,-58.470108,nuñez,AR-C,387,Núñez II,Supermercado,POINT (-58.470108 -34.546335)
19,5cbc698b7af152186c0cd152,FULL,1,19,Operadora de Estaciones de Servicios S.A.,Av. De Los Constituyentes 6070,19-1-02907,-34.57155,-58.50692,villa pueyrredon,AR-C,2907,WALL MART CONSTITUYENTES,Autoservicio,POINT (-58.50692 -34.57155)
20,5cbc698b7af152186c0cd153,Supermercados DIA,1,15,DIA Argentina S.A,Av Dr. Ricardo Balbin 3650,15-1-401,-34.5556464,-58.4821174,saavedra,AR-C,401,401 - Saavedra,Autoservicio,POINT (-58.4821174 -34.5556464)
21,5cbc698b7af152186c0cd154,Walmart SuperCenter,5,11,Wal Mart Argentina S.R.L.,Av. De Los Constituyentes 6020,11-5-2997,-34.572793,-58.5078,villa pueyrredon,AR-C,2997,Grafa,Hipermercado,POINT (-58.5078 -34.572793)
22,5cbc698b7af152186c0cd155,Express,3,10,INC S.A.,11 De Septiembre 3910,10-3-373,-34.543233,-58.463148,nuñez,AR-C,373,11 de Septiembre 3910,Autoservicio,POINT (-58.463148 -34.543233)
23,5cbc698b7af152186c0cd156,Supermercados DIA,1,15,DIA Argentina S.A,Av De Los Constituyentes 6047,15-1-364,-34.5718154,-58.5059748,villa pueyrredon,AR-C,364,364 - Villa Urquiza,Autoservicio,POINT (-58.5059748 -34.5718154)
24,5cbc698b7af152186c0cd157,Supermercados DIA,1,15,DIA Argentina S.A,Av Cabildo 3822,15-1-277,-34.5479546,-58.4689903,saavedra,AR-C,277,277 - Saavedra,Autoservicio,POINT (-58.4689903 -34.5479546)
25,5cbc698b7af152186c0cd158,Express,3,10,INC S.A.,Crisólogo Larralde 3721,10-3-525,-34.555471,-58.479994,saavedra,AR-C,525,Crisólogo Larralde 3721,Autoservicio,POINT (-58.479994 -34.555471)
26,5cbc698b7af152186c0cd159,Supermercados DIA,1,15,DIA Argentina S.A,Cl Crisologo Larralde 3012,15-1-317,-34.5520142,-58.4736585,nuñez,AR-C,317,317 - NuÃ±ez,Autoservicio,POINT (-58.4736585 -34.5520142)
27,5cbc698b7af152186c0cd15a,Express,3,10,INC S.A.,Av. Cabildo 3722,10-3-532,-34.548849,-58.468561,saavedra,AR-C,532,Cabildo 3722,Autoservicio,POINT (-58.468561 -34.548849)
